instance,goal,defences
exp_acyclic_depvary_step10_batch_yyy03.pl,w3,[a1 c1 f1 e2 c3 f3 b4 c4 d4 d5 b6 b1 a2 a3 e3 b5 e5 f5]
exp_acyclic_depvary_step10_batch_yyy03.pl,v1,
exp_acyclic_depvary_step10_batch_yyy03.pl,p3,
exp_acyclic_depvary_step10_batch_yyy04.pl,t4,
exp_acyclic_depvary_step10_batch_yyy04.pl,s5,[a1 e2 a3 e3 f3 d4 e4 d5 b6 b1 f1 a2 c3 a4 c4 b5 e5 f5 a6 c6]
exp_acyclic_depvary_step10_batch_yyy04.pl,q4,[a1 e2 a3 c3 e3 f3 c4 d4 e4 b5 d5 b6 b1 f1 a2 a4 e5 f5 a6 c6]
exp_acyclic_depvary_step10_batch_yyy04.pl,e4,[a1 e2 a3 e3 f3 d4 e4 d5 b6 b1 f1 a2 c3 a4 c4 b5 e5 f5 a6 c6]
exp_acyclic_depvary_step10_batch_yyy04.pl,w1,[a1 e2 a3 e3 f3 d4 e4 d5 b6 b1 f1 a2 c3 a4 c4 b5 e5 f5 a6 c6]
exp_acyclic_depvary_step10_batch_yyy04.pl,y1,
exp_acyclic_depvary_step10_batch_yyy04.pl,p2,
exp_acyclic_depvary_step10_batch_yyy04.pl,r2,
exp_acyclic_depvary_step10_batch_yyy04.pl,a4,[a1 e2 a3 e3 f3 a4 d4 e4 d5 b6 b1 f1 a2 c3 c4 b5 e5 f5 a6 c6]
exp_acyclic_depvary_step10_batch_yyy04.pl,x2,[a1 e2 a3 e3 f3 d4 e4 d5 b6 b1 f1 a2 c3 a4 c4 b5 e5 f5 a6 c6]
exp_acyclic_depvary_step10_batch_yyy05.pl,c3,
exp_acyclic_depvary_step10_batch_yyy05.pl,e1,
exp_acyclic_depvary_step10_batch_yyy05.pl,f5,[d1 f1 b3 f4 a5 b5 c5 f5 c6 b1 c1 b2 f3 b4 d4 b6]
exp_acyclic_depvary_step10_batch_yyy05.pl,y3,[d1 f1 b3 f4 a5 b5 c5 f5 c6 b1 c1 b2 f3 b4 d4 b6]
exp_acyclic_depvary_step10_batch_yyy05.pl,r4,[d1 f1 b3 f4 a5 b5 c5 f5 c6 b1 c1 b2 f3 b4 d4 b6]
exp_acyclic_depvary_step10_batch_yyy05.pl,p1,
exp_acyclic_depvary_step10_batch_yyy05.pl,c2,
exp_acyclic_depvary_step10_batch_yyy05.pl,b1,[b1 d1 f1 b3 f4 a5 b5 c5 f5 c6 c1 b2 f3 b4 d4 b6]
exp_acyclic_depvary_step10_batch_yyy05.pl,u2,
exp_acyclic_depvary_step10_batch_yyy05.pl,t1,[d1 f1 b3 f4 a5 b5 c5 f5 c6 b1 c1 b2 f3 b4 d4 b6]
exp_acyclic_depvary_step10_batch_yyy06.pl,y4,
exp_acyclic_depvary_step10_batch_yyy06.pl,t3,[b1 c1 e1 f1 b2 b3 c3 a4 b4 e4 c5 e5 f5 b6 f2 b5 c6]
exp_acyclic_depvary_step10_batch_yyy06.pl,a5,
exp_acyclic_depvary_step10_batch_yyy06.pl,q4,
exp_acyclic_depvary_step10_batch_yyy06.pl,f5,[b1 c1 e1 f1 b2 b3 c3 a4 b4 e4 c5 e5 f5 b6 f2 b5 c6]
exp_acyclic_depvary_step10_batch_yyy06.pl,z4,[b1 c1 e1 f1 b2 b3 c3 a4 b4 e4 c5 e5 f5 b6 f2 b5 c6]
exp_acyclic_depvary_step10_batch_yyy06.pl,c1,[b1 c1 e1 f1 b2 b3 c3 a4 b4 e4 c5 e5 f5 b6 f2 b5 c6]
exp_acyclic_depvary_step10_batch_yyy06.pl,r4,
exp_acyclic_depvary_step10_batch_yyy06.pl,y1,
exp_acyclic_depvary_step10_batch_yyy06.pl,p1,[b1 c1 e1 f1 b2 b3 c3 a4 b4 e4 c5 e5 f5 b6 f2 b5 c6]
exp_acyclic_depvary_step10_batch_yyy07.pl,d4,
exp_acyclic_depvary_step10_batch_yyy07.pl,u4,
exp_acyclic_depvary_step10_batch_yyy07.pl,b4,
exp_acyclic_depvary_step10_batch_yyy07.pl,z4,
exp_acyclic_depvary_step10_batch_yyy07.pl,y1,
exp_acyclic_depvary_step10_batch_yyy07.pl,r2,[a1 d2 f2 b3 c3 d3 a4 e4 f4 b5 c5 a6 b1 d1 f1 a2 c2 e2 a3 e3 c4]
exp_acyclic_depvary_step10_batch_yyy07.pl,u2,[a1 d2 f2 b3 c3 d3 a4 e4 f4 b5 c5 a6 b1 d1 f1 a2 c2 e2 a3 e3 c4]
exp_acyclic_depvary_step10_batch_yyy07.pl,a6,[a1 d2 f2 b3 c3 d3 a4 e4 f4 b5 c5 a6 b1 d1 f1 a2 c2 e2 a3 e3 c4]
exp_acyclic_depvary_step10_batch_yyy07.pl,b3,[a1 d2 f2 b3 c3 d3 a4 e4 f4 b5 c5 a6 b1 d1 f1 a2 c2 e2 a3 e3 c4]
exp_acyclic_depvary_step10_batch_yyy07.pl,y4,
exp_acyclic_depvary_step10_batch_yyy08.pl,c3,[b1 e1 a2 a3 c3 d3 b4 d4 f4 b5 d5 f5 c6 f1 b2 f2 b3 a5]
exp_acyclic_depvary_step10_batch_yyy08.pl,e1,[b1 e1 a2 a3 b4 d4 f4 b5 d5 f5 c6 f1 b2 f2 b3 c3 d3 a5]
exp_acyclic_depvary_step10_batch_yyy08.pl,v5,[b1 e1 a2 a3 b4 d4 f4 b5 d5 f5 c6 f1 b2 f2 b3 c3 d3 a5]
exp_acyclic_depvary_step10_batch_yyy08.pl,a5,[b1 e1 a2 a3 b4 d4 f4 a5 b5 d5 f5 c6 f1 b2 f2 b3 c3 d3]
exp_acyclic_depvary_step10_batch_yyy08.pl,a4,
exp_acyclic_depvary_step10_batch_yyy08.pl,z2,
exp_acyclic_depvary_step10_batch_yyy08.pl,q3,[b1 e1 a2 a3 b4 d4 f4 b5 d5 f5 c6 f1 b2 f2 b3 c3 d3 a5]
exp_acyclic_depvary_step10_batch_yyy08.pl,t1,
exp_acyclic_depvary_step10_batch_yyy08.pl,z4,[b1 e1 a2 a3 d3 b4 d4 f4 b5 d5 f5 c6 f1 b2 f2 b3 c3 a5]
exp_acyclic_depvary_step10_batch_yyy08.pl,r5,
exp_acyclic_depvary_step10_batch_yyy09.pl,b2,
exp_acyclic_depvary_step10_batch_yyy09.pl,y4,
exp_acyclic_depvary_step10_batch_yyy09.pl,t3,[a1 a2 b4 d4 f4 a5 b5 c5 e5 f5 c6 d1 c2 f3 a4]
exp_acyclic_depvary_step10_batch_yyy09.pl,z1,[a1 a2 b4 d4 f4 a5 b5 c5 e5 f5 c6 d1 c2 f3 a4]
exp_acyclic_depvary_step10_batch_yyy09.pl,f5,[a1 a2 b4 d4 f4 a5 b5 c5 e5 f5 c6 d1 c2 f3 a4]
exp_acyclic_depvary_step10_batch_yyy09.pl,z4,
exp_acyclic_depvary_step10_batch_yyy09.pl,e3,
exp_acyclic_depvary_step10_batch_yyy09.pl,y1,
exp_acyclic_depvary_step10_batch_yyy09.pl,a3,
exp_acyclic_depvary_step10_batch_yyy09.pl,q2,
exp_acyclic_depvary_step10_batch_yyy10.pl,d5,[b1 e1 a2 b2 d2 a3 b3 d3 e3 b4 f4 c5 d5 a6 c1 d1 a4 e4]
exp_acyclic_depvary_step10_batch_yyy10.pl,a6,[b1 e1 a2 b2 d2 a3 b3 d3 e3 b4 f4 c5 a6 c1 d1 a4 e4 d5]
exp_acyclic_depvary_step10_batch_yyy10.pl,v2,
exp_acyclic_depvary_step10_batch_yyy10.pl,x3,[b1 e1 a2 b2 d2 a3 b3 d3 e3 b4 f4 c5 a6 c1 d1 a4 e4 d5]
exp_acyclic_depvary_step10_batch_yyy10.pl,x2,
exp_acyclic_depvary_step10_batch_yyy10.pl,y3,
exp_acyclic_depvary_step10_batch_yyy10.pl,b5,
exp_acyclic_depvary_step10_batch_yyy10.pl,e3,[b1 e1 a2 b2 d2 a3 b3 d3 e3 b4 f4 c5 a6 c1 d1 a4 e4 d5]
exp_acyclic_depvary_step10_batch_yyy10.pl,x1,[b1 e1 a2 b2 d2 a3 b3 d3 e3 b4 f4 c5 a6 c1 d1 a4 e4 d5]
exp_acyclic_depvary_step10_batch_yyy10.pl,r3,
exp_acyclic_depvary_step1_batch_yyy01.pl,u5,
exp_acyclic_depvary_step1_batch_yyy01.pl,s4,
exp_acyclic_depvary_step1_batch_yyy01.pl,d3,
exp_acyclic_depvary_step1_batch_yyy01.pl,q5,
exp_acyclic_depvary_step1_batch_yyy01.pl,z4,
exp_acyclic_depvary_step1_batch_yyy01.pl,s1,[d1 f1]
exp_acyclic_depvary_step1_batch_yyy01.pl,z3,
exp_acyclic_depvary_step1_batch_yyy01.pl,u2,
exp_acyclic_depvary_step1_batch_yyy01.pl,c5,
exp_acyclic_depvary_step1_batch_yyy01.pl,b1,
exp_acyclic_depvary_step1_batch_yyy02.pl,y4,
exp_acyclic_depvary_step1_batch_yyy02.pl,z5,
exp_acyclic_depvary_step1_batch_yyy02.pl,x3,
exp_acyclic_depvary_step1_batch_yyy02.pl,q4,
exp_acyclic_depvary_step1_batch_yyy02.pl,x2,
exp_acyclic_depvary_step1_batch_yyy02.pl,c6,
exp_acyclic_depvary_step1_batch_yyy02.pl,d2,
exp_acyclic_depvary_step1_batch_yyy02.pl,y2,
exp_acyclic_depvary_step1_batch_yyy02.pl,e2,
exp_acyclic_depvary_step1_batch_yyy02.pl,q2,
exp_acyclic_depvary_step1_batch_yyy03.pl,u4,
exp_acyclic_depvary_step1_batch_yyy03.pl,b1,
exp_acyclic_depvary_step1_batch_yyy03.pl,x2,
exp_acyclic_depvary_step1_batch_yyy03.pl,r5,
exp_acyclic_depvary_step1_batch_yyy03.pl,x4,
exp_acyclic_depvary_step1_batch_yyy03.pl,q2,
exp_acyclic_depvary_step1_batch_yyy03.pl,c6,
exp_acyclic_depvary_step1_batch_yyy03.pl,z2,
exp_acyclic_depvary_step1_batch_yyy03.pl,v4,
exp_acyclic_depvary_step1_batch_yyy03.pl,e3,
exp_acyclic_depvary_step1_batch_yyy04.pl,u4,
exp_acyclic_depvary_step1_batch_yyy04.pl,p3,
exp_acyclic_depvary_step1_batch_yyy04.pl,v4,
exp_acyclic_depvary_step1_batch_yyy04.pl,r1,[a1 e1 c1]
exp_acyclic_depvary_step1_batch_yyy04.pl,a3,
exp_acyclic_depvary_step1_batch_yyy04.pl,p1,[a1 c1 e1]
exp_acyclic_depvary_step1_batch_yyy04.pl,p5,
exp_acyclic_depvary_step1_batch_yyy04.pl,x3,
exp_acyclic_depvary_step1_batch_yyy04.pl,r2,
exp_acyclic_depvary_step1_batch_yyy04.pl,b6,
exp_acyclic_depvary_step1_batch_yyy05.pl,v2,
exp_acyclic_depvary_step1_batch_yyy05.pl,x3,
exp_acyclic_depvary_step1_batch_yyy05.pl,f1,
exp_acyclic_depvary_step1_batch_yyy05.pl,q5,
exp_acyclic_depvary_step1_batch_yyy05.pl,w4,
exp_acyclic_depvary_step1_batch_yyy05.pl,x5,
exp_acyclic_depvary_step1_batch_yyy05.pl,y2,
exp_acyclic_depvary_step1_batch_yyy05.pl,q2,
exp_acyclic_depvary_step1_batch_yyy05.pl,v4,
exp_acyclic_depvary_step1_batch_yyy05.pl,e3,
exp_acyclic_depvary_step1_batch_yyy06.pl,b2,
exp_acyclic_depvary_step1_batch_yyy06.pl,w5,
exp_acyclic_depvary_step1_batch_yyy06.pl,s5,
exp_acyclic_depvary_step1_batch_yyy06.pl,q4,
exp_acyclic_depvary_step1_batch_yyy06.pl,w4,
exp_acyclic_depvary_step1_batch_yyy06.pl,r4,
exp_acyclic_depvary_step1_batch_yyy06.pl,b6,
exp_acyclic_depvary_step1_batch_yyy06.pl,d1,[a1 b1 d1]
exp_acyclic_depvary_step1_batch_yyy06.pl,z1,
exp_acyclic_depvary_step1_batch_yyy06.pl,b1,[a1 b1 d1]
exp_acyclic_depvary_step1_batch_yyy07.pl,c4,
exp_acyclic_depvary_step1_batch_yyy07.pl,v5,
exp_acyclic_depvary_step1_batch_yyy07.pl,z4,
exp_acyclic_depvary_step1_batch_yyy07.pl,s1,[a1 c1]
exp_acyclic_depvary_step1_batch_yyy07.pl,q1,[a1 c1]
exp_acyclic_depvary_step1_batch_yyy07.pl,x4,
exp_acyclic_depvary_step1_batch_yyy07.pl,f1,
exp_acyclic_depvary_step1_batch_yyy07.pl,e5,
exp_acyclic_depvary_step1_batch_yyy07.pl,t2,
exp_acyclic_depvary_step1_batch_yyy07.pl,z2,
exp_acyclic_depvary_step1_batch_yyy08.pl,t5,
exp_acyclic_depvary_step1_batch_yyy08.pl,y4,
exp_acyclic_depvary_step1_batch_yyy08.pl,w2,
exp_acyclic_depvary_step1_batch_yyy08.pl,f5,
exp_acyclic_depvary_step1_batch_yyy08.pl,e3,
exp_acyclic_depvary_step1_batch_yyy08.pl,d2,
exp_acyclic_depvary_step1_batch_yyy08.pl,v3,
exp_acyclic_depvary_step1_batch_yyy08.pl,f2,
exp_acyclic_depvary_step1_batch_yyy08.pl,f4,
exp_acyclic_depvary_step1_batch_yyy08.pl,a3,
exp_acyclic_depvary_step1_batch_yyy09.pl,t4,
exp_acyclic_depvary_step1_batch_yyy09.pl,b3,
exp_acyclic_depvary_step1_batch_yyy09.pl,d3,
exp_acyclic_depvary_step1_batch_yyy09.pl,x5,
exp_acyclic_depvary_step1_batch_yyy09.pl,r1,[a1 c1 d1]
exp_acyclic_depvary_step1_batch_yyy09.pl,q3,
exp_acyclic_depvary_step1_batch_yyy09.pl,e3,
exp_acyclic_depvary_step1_batch_yyy09.pl,r4,
exp_acyclic_depvary_step1_batch_yyy09.pl,e2,
exp_acyclic_depvary_step1_batch_yyy09.pl,r3,
exp_acyclic_depvary_step1_batch_yyy10.pl,c4,
exp_acyclic_depvary_step1_batch_yyy10.pl,d4,
exp_acyclic_depvary_step1_batch_yyy10.pl,b1,[b1 c1 e1]
exp_acyclic_depvary_step1_batch_yyy10.pl,a4,
exp_acyclic_depvary_step1_batch_yyy10.pl,y3,
exp_acyclic_depvary_step1_batch_yyy10.pl,e3,
exp_acyclic_depvary_step1_batch_yyy10.pl,r3,
exp_acyclic_depvary_step1_batch_yyy10.pl,f2,
exp_acyclic_depvary_step1_batch_yyy10.pl,q3,
exp_acyclic_depvary_step1_batch_yyy10.pl,y2,
exp_acyclic_depvary_step2_batch_yyy01.pl,b2,
exp_acyclic_depvary_step2_batch_yyy01.pl,e1,
exp_acyclic_depvary_step2_batch_yyy01.pl,e5,
exp_acyclic_depvary_step2_batch_yyy01.pl,c5,
exp_acyclic_depvary_step2_batch_yyy01.pl,z4,
exp_acyclic_depvary_step2_batch_yyy01.pl,c1,
exp_acyclic_depvary_step2_batch_yyy01.pl,p1,
exp_acyclic_depvary_step2_batch_yyy01.pl,y5,
exp_acyclic_depvary_step2_batch_yyy01.pl,a6,
exp_acyclic_depvary_step2_batch_yyy01.pl,s4,
exp_acyclic_depvary_step2_batch_yyy02.pl,z5,
exp_acyclic_depvary_step2_batch_yyy02.pl,e5,
exp_acyclic_depvary_step2_batch_yyy02.pl,s5,
exp_acyclic_depvary_step2_batch_yyy02.pl,p2,[b1 c1 e1 c2]
exp_acyclic_depvary_step2_batch_yyy02.pl,a1,
exp_acyclic_depvary_step2_batch_yyy02.pl,q2,
exp_acyclic_depvary_step2_batch_yyy02.pl,d3,
exp_acyclic_depvary_step2_batch_yyy02.pl,u4,
exp_acyclic_depvary_step2_batch_yyy02.pl,w1,
exp_acyclic_depvary_step2_batch_yyy02.pl,p3,
exp_acyclic_depvary_step2_batch_yyy03.pl,d5,
exp_acyclic_depvary_step2_batch_yyy03.pl,p5,
exp_acyclic_depvary_step2_batch_yyy03.pl,v5,
exp_acyclic_depvary_step2_batch_yyy03.pl,f5,
exp_acyclic_depvary_step2_batch_yyy03.pl,p3,
exp_acyclic_depvary_step2_batch_yyy03.pl,u3,
exp_acyclic_depvary_step2_batch_yyy03.pl,y2,
exp_acyclic_depvary_step2_batch_yyy03.pl,d1,[b1 d1 c2 a2 b2]
exp_acyclic_depvary_step2_batch_yyy03.pl,y3,
exp_acyclic_depvary_step2_batch_yyy03.pl,r5,
exp_acyclic_depvary_step2_batch_yyy04.pl,e1,
exp_acyclic_depvary_step2_batch_yyy04.pl,f1,[a1 b1 f1 a2 c1]
exp_acyclic_depvary_step2_batch_yyy04.pl,v5,
exp_acyclic_depvary_step2_batch_yyy04.pl,q5,
exp_acyclic_depvary_step2_batch_yyy04.pl,v1,[a1 b1 f1 a2 c1]
exp_acyclic_depvary_step2_batch_yyy04.pl,c6,
exp_acyclic_depvary_step2_batch_yyy04.pl,a6,
exp_acyclic_depvary_step2_batch_yyy04.pl,y4,
exp_acyclic_depvary_step2_batch_yyy04.pl,e2,
exp_acyclic_depvary_step2_batch_yyy04.pl,u2,
exp_acyclic_depvary_step2_batch_yyy05.pl,b2,
exp_acyclic_depvary_step2_batch_yyy05.pl,y4,
exp_acyclic_depvary_step2_batch_yyy05.pl,e1,
exp_acyclic_depvary_step2_batch_yyy05.pl,f1,
exp_acyclic_depvary_step2_batch_yyy05.pl,w5,
exp_acyclic_depvary_step2_batch_yyy05.pl,q4,
exp_acyclic_depvary_step2_batch_yyy05.pl,y3,
exp_acyclic_depvary_step2_batch_yyy05.pl,f4,
exp_acyclic_depvary_step2_batch_yyy05.pl,z1,
exp_acyclic_depvary_step2_batch_yyy05.pl,b1,
exp_acyclic_depvary_step2_batch_yyy06.pl,c3,
exp_acyclic_depvary_step2_batch_yyy06.pl,u1,[f1 a2 d1 e1;f1 a2 a1 b1 d1]
exp_acyclic_depvary_step2_batch_yyy06.pl,d3,
exp_acyclic_depvary_step2_batch_yyy06.pl,q4,
exp_acyclic_depvary_step2_batch_yyy06.pl,x2,
exp_acyclic_depvary_step2_batch_yyy06.pl,x5,
exp_acyclic_depvary_step2_batch_yyy06.pl,a1,[a1 f1 a2 b1 d1]
exp_acyclic_depvary_step2_batch_yyy06.pl,x4,
exp_acyclic_depvary_step2_batch_yyy06.pl,p5,
exp_acyclic_depvary_step2_batch_yyy06.pl,x3,
exp_acyclic_depvary_step2_batch_yyy07.pl,d5,
exp_acyclic_depvary_step2_batch_yyy07.pl,f1,[c1 f1 b2]
exp_acyclic_depvary_step2_batch_yyy07.pl,w5,
exp_acyclic_depvary_step2_batch_yyy07.pl,y3,
exp_acyclic_depvary_step2_batch_yyy07.pl,x1,[c1 b2 f1]
exp_acyclic_depvary_step2_batch_yyy07.pl,f2,
exp_acyclic_depvary_step2_batch_yyy07.pl,c5,
exp_acyclic_depvary_step2_batch_yyy07.pl,a5,
exp_acyclic_depvary_step2_batch_yyy07.pl,d1,
exp_acyclic_depvary_step2_batch_yyy07.pl,t1,[c1 b2 f1]
exp_acyclic_depvary_step2_batch_yyy08.pl,s3,
exp_acyclic_depvary_step2_batch_yyy08.pl,x3,
exp_acyclic_depvary_step2_batch_yyy08.pl,s5,
exp_acyclic_depvary_step2_batch_yyy08.pl,p3,
exp_acyclic_depvary_step2_batch_yyy08.pl,d2,
exp_acyclic_depvary_step2_batch_yyy08.pl,z3,
exp_acyclic_depvary_step2_batch_yyy08.pl,y2,
exp_acyclic_depvary_step2_batch_yyy08.pl,c6,
exp_acyclic_depvary_step2_batch_yyy08.pl,z2,
exp_acyclic_depvary_step2_batch_yyy08.pl,b5,
exp_acyclic_depvary_step2_batch_yyy09.pl,u5,
exp_acyclic_depvary_step2_batch_yyy09.pl,t4,
exp_acyclic_depvary_step2_batch_yyy09.pl,b2,
exp_acyclic_depvary_step2_batch_yyy09.pl,b3,
exp_acyclic_depvary_step2_batch_yyy09.pl,p4,
exp_acyclic_depvary_step2_batch_yyy09.pl,b4,
exp_acyclic_depvary_step2_batch_yyy09.pl,z1,
exp_acyclic_depvary_step2_batch_yyy09.pl,w4,
exp_acyclic_depvary_step2_batch_yyy09.pl,d1,[b1 d1 e1 a1 c1]
exp_acyclic_depvary_step2_batch_yyy09.pl,x4,
exp_acyclic_depvary_step2_batch_yyy10.pl,u5,
exp_acyclic_depvary_step2_batch_yyy10.pl,d4,
exp_acyclic_depvary_step2_batch_yyy10.pl,t3,
exp_acyclic_depvary_step2_batch_yyy10.pl,v4,
exp_acyclic_depvary_step2_batch_yyy10.pl,f4,
exp_acyclic_depvary_step2_batch_yyy10.pl,r2,[b1 c1 a1 d1;b1 c1 a2 b2]
exp_acyclic_depvary_step2_batch_yyy10.pl,v2,
exp_acyclic_depvary_step2_batch_yyy10.pl,e1,
exp_acyclic_depvary_step2_batch_yyy10.pl,s1,[b1 c1 a1 d1;b1 c1 a2 b2]
exp_acyclic_depvary_step2_batch_yyy10.pl,d2,
exp_acyclic_depvary_step3_batch_yyy01.pl,u1,[a1 d1 b2 e1 f1 d2]
exp_acyclic_depvary_step3_batch_yyy01.pl,c2,
exp_acyclic_depvary_step3_batch_yyy01.pl,a4,
exp_acyclic_depvary_step3_batch_yyy01.pl,y1,[a1 d1 b2 e1 f1 d2]
exp_acyclic_depvary_step3_batch_yyy01.pl,q1,[a1 d1 b2 e1 f1 d2]
exp_acyclic_depvary_step3_batch_yyy01.pl,a2,
exp_acyclic_depvary_step3_batch_yyy01.pl,s5,
exp_acyclic_depvary_step3_batch_yyy01.pl,b4,
exp_acyclic_depvary_step3_batch_yyy01.pl,z3,
exp_acyclic_depvary_step3_batch_yyy01.pl,a3,
exp_acyclic_depvary_step3_batch_yyy02.pl,d5,
exp_acyclic_depvary_step3_batch_yyy02.pl,z5,
exp_acyclic_depvary_step3_batch_yyy02.pl,b4,
exp_acyclic_depvary_step3_batch_yyy02.pl,c2,[a1 b2 c2 d2 d1 e2]
exp_acyclic_depvary_step3_batch_yyy02.pl,r5,
exp_acyclic_depvary_step3_batch_yyy02.pl,r1,[a1 b2 c2 d2 d1 e2]
exp_acyclic_depvary_step3_batch_yyy02.pl,p2,[a1 b2 c2 d2 d1 e2]
exp_acyclic_depvary_step3_batch_yyy02.pl,e2,[a1 b2 c2 d2 e2 d1]
exp_acyclic_depvary_step3_batch_yyy02.pl,d1,[a1 d1 b2 c2 d2 e2]
exp_acyclic_depvary_step3_batch_yyy02.pl,q1,
exp_acyclic_depvary_step3_batch_yyy03.pl,p4,
exp_acyclic_depvary_step3_batch_yyy03.pl,u4,
exp_acyclic_depvary_step3_batch_yyy03.pl,z1,
exp_acyclic_depvary_step3_batch_yyy03.pl,c6,
exp_acyclic_depvary_step3_batch_yyy03.pl,y1,
exp_acyclic_depvary_step3_batch_yyy03.pl,y2,
exp_acyclic_depvary_step3_batch_yyy03.pl,e2,
exp_acyclic_depvary_step3_batch_yyy03.pl,r3,
exp_acyclic_depvary_step3_batch_yyy03.pl,f2,
exp_acyclic_depvary_step3_batch_yyy03.pl,q2,
exp_acyclic_depvary_step3_batch_yyy04.pl,t5,
exp_acyclic_depvary_step3_batch_yyy04.pl,s4,
exp_acyclic_depvary_step3_batch_yyy04.pl,u4,
exp_acyclic_depvary_step3_batch_yyy04.pl,c5,
exp_acyclic_depvary_step3_batch_yyy04.pl,e4,
exp_acyclic_depvary_step3_batch_yyy04.pl,w1,
exp_acyclic_depvary_step3_batch_yyy04.pl,s1,[b1 e1 a2 d2]
exp_acyclic_depvary_step3_batch_yyy04.pl,z3,
exp_acyclic_depvary_step3_batch_yyy04.pl,r3,
exp_acyclic_depvary_step3_batch_yyy04.pl,q2,[b1 e1 a2 d2]
exp_acyclic_depvary_step3_batch_yyy05.pl,e1,[e1 f1 b2 c2 d2 e2 f2]
exp_acyclic_depvary_step3_batch_yyy05.pl,f1,[e1 f1 b2 c2 d2 e2 f2]
exp_acyclic_depvary_step3_batch_yyy05.pl,c5,
exp_acyclic_depvary_step3_batch_yyy05.pl,r4,
exp_acyclic_depvary_step3_batch_yyy05.pl,a3,
exp_acyclic_depvary_step3_batch_yyy05.pl,x1,[e1 f1 b2 c2 d2 e2 f2]
exp_acyclic_depvary_step3_batch_yyy05.pl,s5,
exp_acyclic_depvary_step3_batch_yyy05.pl,b4,
exp_acyclic_depvary_step3_batch_yyy05.pl,r5,
exp_acyclic_depvary_step3_batch_yyy05.pl,e4,
exp_acyclic_depvary_step3_batch_yyy06.pl,c4,
exp_acyclic_depvary_step3_batch_yyy06.pl,u4,
exp_acyclic_depvary_step3_batch_yyy06.pl,a1,
exp_acyclic_depvary_step3_batch_yyy06.pl,u2,
exp_acyclic_depvary_step3_batch_yyy06.pl,x4,
exp_acyclic_depvary_step3_batch_yyy06.pl,z5,
exp_acyclic_depvary_step3_batch_yyy06.pl,e1,[e1 f1 f2 c1 a2 b2 c2]
exp_acyclic_depvary_step3_batch_yyy06.pl,x5,
exp_acyclic_depvary_step3_batch_yyy06.pl,c6,
exp_acyclic_depvary_step3_batch_yyy06.pl,b5,
exp_acyclic_depvary_step3_batch_yyy07.pl,w2,
exp_acyclic_depvary_step3_batch_yyy07.pl,q5,
exp_acyclic_depvary_step3_batch_yyy07.pl,c2,[a1 a2 b2 c2 e1;a1 a2 b2 c2 c1]
exp_acyclic_depvary_step3_batch_yyy07.pl,x2,[a1 a2 b2 c2 e1;a1 a2 b2 c2 c1]
exp_acyclic_depvary_step3_batch_yyy07.pl,e4,
